Ticket_id,ticket_date,Employee_id,Agent_id,Issue_Category,Ticket_Issue,Assigned_Team,Priority,SLA,Resolution_time,SLA_Breach,,,
0042401216,2022-02-01,881,42,Login Access,VPN login issue,Access Management Team,Medium,24,69,Yes,,,
0042401245,2022-03-03,904,12,Login Access,Account locked,Access Management Team,Medium,24,89,Yes,,,
0042403157,2023-05-04,405,21,Hardware,Keyboard not working,Hardware Support Team,Low,48,78,Yes,,,
0042404638,2023-10-04,543,16,Software,Excel not responding,Application Support Team,High,4,4,No,,,
0042405298,2022-02-09,1679,2,Software,Outlook not opening,Application Support Team,High,4,45,Yes,,,
0042408019,2022-10-10,961,10,Software,Software installation failure,Application Support Team,Medium,24,3,No,,,
0042409108,2024-06-22,390,21,Software,Software installation failure,Application Support Team,Medium,24,15,No,,,
0042410628,2022-09-21,1582,36,Hardware,Keyboard not working,Hardware Support Team,High,4,50,Yes,,,
0042413126,2022-04-30,732,1,System,System running slow,System Administration Team,Medium,24,5,No,,,
0042413531,2024-09-05,1553,5,Login Access,Unable to login to system,Access Management Team,Medium,24,43,Yes,,,
0042414753,2022-06-24,1795,27,System,Operating system crash,System Administration Team,High,4,14,Yes,,,
0042415003,2023-11-07,1570,50,Software,Outlook not opening,Application Support Team,Medium,24,6,No,,,
0042419123,2024-10-16,212,21,System,System running slow,System Administration Team,Low,48,31,No,,,
0042419377,2023-12-13,287,33,System,System update failure,System Administration Team,Low,48,24,No,,,
0042420311,2022-05-08,1921,13,Login Access,VPN login issue,Access Management Team,Low,48,45,No,,,
0042425791,2024-07-09,299,27,Software,Application crash,Application Support Team,Medium,24,2,No,,,
0042427147,2024-01-04,1634,11,Software,Outlook not opening,Application Support Team,High,4,2,No,,,
0042427730,2022-04-29,573,17,Login Access,VPN login issue,Access Management Team,Medium,24,18,No,,,
0042428210,2024-12-03,1201,2,Login Access,Unable to login to system,Access Management Team,Medium,24,24,No,,,
0042429890,2024-10-12,749,8,System,System update failure,System Administration Team,Low,48,7,No,,,
0042430090,2023-10-14,1839,40,System,Operating system crash,System Administration Team,High,4,7,Yes,,,
0042430098,2022-10-11,529,50,Hardware,Monitor display issue,Hardware Support Team,Medium,24,65,Yes,,,
0042430562,2023-06-11,926,15,Hardware,Keyboard not working,Hardware Support Team,Low,48,5,No,,,
0042431039,2024-06-13,33,30,Hardware,Laptop not turning on,Hardware Support Team,High,4,29,Yes,,,
0042431662,2024-09-02,1446,16,Login Access,Unable to login to system,Access Management Team,Low,48,30,No,,,
0042435544,2024-03-29,384,35,Software,Software installation failure,Application Support Team,Medium,24,1,No,,,
0042437021,2024-07-06,312,40,Hardware,Laptop not turning on,Hardware Support Team,High,4,39,Yes,,,
0042438619,2023-10-14,1961,46,Software,Application crash,Application Support Team,Medium,24,2,No,,,
0042438789,2023-12-26,1598,27,Hardware,Printer not printing,Hardware Support Team,Medium,24,52,Yes,,,
0042439348,2023-09-14,824,33,Hardware,Laptop not turning on,Hardware Support Team,High,4,3,No,,,
0042439967,2023-02-27,1776,19,System,System running slow,System Administration Team,Low,48,58,Yes,,,
0042440965,2024-03-04,1746,29,Software,Software installation failure,Application Support Team,Medium,24,16,No,,,
0042442958,2023-11-18,295,39,System,System update failure,System Administration Team,Low,48,19,No,,,
0042443738,2023-06-25,1613,37,System,System running slow,System Administration Team,Low,48,94,Yes,,,
0042443906,2022-02-10,880,49,Login Access,Account locked,Access Management Team,Medium,24,3,No,,,
0042444221,2023-03-18,1032,2,Hardware,Printer not printing,Hardware Support Team,Medium,24,55,Yes,,,
0042445366,2024-02-27,586,23,Hardware,Keyboard not working,Hardware Support Team,Medium,24,26,Yes,,,
0042447172,2023-09-14,817,1,System,Blue screen error,System Administration Team,High,4,28,Yes,,,
0042448408,2024-03-23,930,24,Login Access,Password reset request,Access Management Team,Low,48,3,No,,,
0042448876,2022-11-13,1027,18,System,System running slow,System Administration Team,Medium,24,50,Yes,,,
0042449072,2023-07-20,1167,50,Software,Software installation failure,Application Support Team,Medium,24,2,No,,,
0042449609,2022-01-05,590,46,System,Operating system crash,System Administration Team,High,4,85,Yes,,,
0042450173,2022-11-30,167,21,System,System update failure,System Administration Team,Low,48,4,No,,,
0042450177,2023-10-28,1247,1,System,Blue screen error,System Administration Team,High,4,20,Yes,,,
0042451331,2022-02-11,443,23,Software,Application crash,Application Support Team,Medium,24,13,No,,,
0042452858,2022-07-15,475,48,Login Access,Account locked,Access Management Team,Medium,24,12,No,,,
0042453606,2024-08-27,450,36,Hardware,Laptop not turning on,Hardware Support Team,High,4,10,Yes,,,
0042453992,2024-12-29,349,9,System,System update failure,System Administration Team,Low,48,6,No,,,
0042454099,2022-06-18,1629,10,Login Access,VPN login issue,Access Management Team,Medium,24,4,No,,,
0042456154,2023-02-28,1305,41,Hardware,Monitor display issue,Hardware Support Team,Low,48,33,No,,,
0042457075,2023-09-16,607,40,Software,Application crash,Application Support Team,Medium,24,23,No,,,
0042458396,2022-05-21,1199,23,Software,Software installation failure,Application Support Team,Medium,24,96,Yes,,,
0042459016,2023-09-13,61,20,Hardware,Keyboard not working,Hardware Support Team,High,4,4,No,,,
0042459239,2024-03-03,903,42,System,Operating system crash,System Administration Team,High,4,6,Yes,,,
0042460563,2022-07-22,1056,15,System,System update failure,System Administration Team,Low,48,42,No,,,
0042460825,2022-06-30,602,48,System,Operating system crash,System Administration Team,High,4,36,Yes,,,
0042460876,2022-09-30,867,48,Software,Application crash,Application Support Team,Medium,24,54,Yes,,,
0042461834,2022-01-05,1693,38,Login Access,Password reset request,Access Management Team,Low,48,4,No,,,
0042461850,2023-12-17,525,18,Hardware,Printer not printing,Hardware Support Team,Medium,24,34,Yes,,,
0042462432,2022-12-07,1713,34,System,Blue screen error,System Administration Team,High,4,1,No,,,
0042463058,2023-05-03,155,10,Login Access,VPN login issue,Access Management Team,Low,48,29,No,,,
0042463209,2023-01-02,1720,32,System,Operating system crash,System Administration Team,High,4,11,Yes,,,
0042464147,2022-05-21,734,31,Hardware,Laptop not turning on,Hardware Support Team,High,4,13,Yes,,,
0042465943,2024-11-08,144,49,System,System update failure,System Administration Team,Low,48,30,No,,,
0042467305,2024-11-22,240,3,Login Access,Password reset request,Access Management Team,Low,48,10,No,,,
0042468098,2023-12-14,689,10,Software,Application crash,Application Support Team,Medium,24,33,Yes,,,
0042468672,2022-09-10,997,46,System,System update failure,System Administration Team,Low,48,47,No,,,
0042468825,2022-09-26,1142,48,Software,Outlook not opening,Application Support Team,Medium,24,24,No,,,
0042469636,2023-07-06,763,6,Software,Software installation failure,Application Support Team,Medium,24,40,Yes,,,
0042470506,2022-12-29,900,25,Hardware,Printer not printing,Hardware Support Team,Medium,24,6,No,,,
0042472520,2023-12-17,1372,45,Software,Excel not responding,Application Support Team,Medium,24,23,No,,,
0042475393,2023-06-05,1059,13,Login Access,Account locked,Access Management Team,Medium,24,74,Yes,,,
0042476736,2022-12-23,723,27,Hardware,Printer not printing,Hardware Support Team,Medium,24,23,No,,,
0042476830,2022-11-14,853,18,Login Access,Unable to login to system,Access Management Team,Medium,24,70,Yes,,,
0042477380,2022-10-29,1738,33,System,Operating system crash,System Administration Team,High,4,3,No,,,
0042479616,2022-10-12,821,36,Software,Outlook not opening,Application Support Team,Low,48,27,No,,,
0042481478,2022-01-15,527,4,Login Access,Account locked,Access Management Team,Medium,24,23,No,,,
0042481496,2024-06-01,129,24,Software,Software installation failure,Application Support Team,Medium,24,68,Yes,,,
0042481828,2022-11-20,962,8,System,System update failure,System Administration Team,Low,48,1,No,,,
0042482613,2023-06-26,921,46,System,Operating system crash,System Administration Team,High,4,40,Yes,,,
0042483008,2022-03-09,1740,40,System,Blue screen error,System Administration Team,High,4,4,No,,,
0042484140,2022-06-16,384,41,Hardware,Monitor display issue,Hardware Support Team,Medium,24,69,Yes,,,
0042484693,2022-08-07,49,26,System,System running slow,System Administration Team,Medium,24,8,No,,,
0042487458,2024-10-22,915,34,Software,Outlook not opening,Application Support Team,Low,48,4,No,,,
0042487601,2022-08-19,260,16,System,System running slow,System Administration Team,Low,48,52,Yes,,,
0042487726,2022-06-27,912,27,Software,Software installation failure,Application Support Team,Medium,24,28,Yes,,,
0042488322,2022-09-16,682,33,Software,Excel not responding,Application Support Team,Low,48,12,No,,,
0042488392,2024-02-04,1249,3,Hardware,Printer not printing,Hardware Support Team,Medium,24,8,No,,,
0042489038,2022-03-01,1033,50,Hardware,Monitor display issue,Hardware Support Team,Low,48,12,No,,,
0042489196,2023-07-26,599,21,Login Access,Account locked,Access Management Team,Medium,24,23,No,,,
0042492346,2023-12-18,1344,33,Software,Outlook not opening,Application Support Team,High,4,2,No,,,
0042494200,2023-12-23,1520,32,Software,Excel not responding,Application Support Team,Low,48,66,Yes,,,
0042495133,2024-02-10,1243,21,System,Operating system crash,System Administration Team,High,4,77,Yes,,,
0042496221,2023-05-30,1312,12,Login Access,VPN login issue,Access Management Team,High,4,4,No,,,
0042496222,2024-12-28,1412,42,Login Access,Account locked,Access Management Team,Medium,24,26,Yes,,,
0042497042,2023-03-27,1924,20,Login Access,VPN login issue,Access Management Team,Low,48,35,No,,,
0042500565,2022-08-14,866,15,Software,Software installation failure,Application Support Team,Medium,24,15,No,,,
0042501657,2022-09-08,165,26,Login Access,Account locked,Access Management Team,Medium,24,4,No,,,
0042503547,2023-09-13,894,5,Software,Excel not responding,Application Support Team,Low,48,32,No,,,
0042504090,2023-06-13,839,40,Software,Application crash,Application Support Team,Medium,24,37,Yes,,,
0042504917,2023-10-19,791,49,Login Access,Password reset request,Access Management Team,Low,48,3,No,,,
0042505567,2022-01-18,1886,35,Hardware,Printer not printing,Hardware Support Team,Medium,24,1,No,,,
0042506037,2022-05-21,783,20,System,System running slow,System Administration Team,Low,48,20,No,,,
0042506948,2023-09-23,84,9,Hardware,Monitor display issue,Hardware Support Team,Medium,24,12,No,,,
0042507690,2022-08-18,899,46,System,System update failure,System Administration Team,Low,48,72,Yes,,,
0042509577,2024-12-20,1537,15,Hardware,Laptop not turning on,Hardware Support Team,High,4,40,Yes,,,
0042510175,2024-05-10,1947,41,Hardware,Printer not printing,Hardware Support Team,Medium,24,10,No,,,
0042510640,2024-07-03,1104,36,System,Blue screen error,System Administration Team,High,4,47,Yes,,,
0042510862,2023-02-26,1106,28,Login Access,Unable to login to system,Access Management Team,Medium,24,13,No,,,
0042513455,2022-11-04,415,14,System,System update failure,System Administration Team,Low,48,3,No,,,
0042514502,2022-11-03,850,25,System,System update failure,System Administration Team,Low,48,18,No,,,
0042515932,2023-03-10,33,19,System,System update failure,System Administration Team,Low,48,24,No,,,
0042516615,2024-01-21,901,46,Software,Application crash,Application Support Team,Medium,24,35,Yes,,,
0042517891,2022-03-29,149,18,Hardware,Laptop not turning on,Hardware Support Team,High,4,45,Yes,,,
0042519059,2024-10-23,1315,50,Login Access,Password reset request,Access Management Team,Low,48,43,No,,,
0042519673,2023-08-07,37,26,Login Access,Account locked,Access Management Team,Medium,24,38,Yes,,,
0042519707,2024-05-03,1690,27,Software,Application crash,Application Support Team,Medium,24,30,Yes,,,
0042520002,2024-10-27,510,50,Software,Software installation failure,Application Support Team,Medium,24,22,No,,,
0042523900,2023-12-26,1080,9,Software,Outlook not opening,Application Support Team,High,4,2,No,,,
0042524120,2022-06-22,1842,31,Software,Outlook not opening,Application Support Team,Medium,24,12,No,,,
0042524186,2023-12-05,1488,11,System,Operating system crash,System Administration Team,High,4,44,Yes,,,
0042524334,2023-11-14,43,43,Software,Excel not responding,Application Support Team,Medium,24,8,No,,,
0042524886,2023-04-23,1148,38,System,Blue screen error,System Administration Team,High,4,4,No,,,
0042525135,2022-07-20,493,31,Hardware,Keyboard not working,Hardware Support Team,Low,48,27,No,,,
0042525776,2024-04-06,1277,7,Software,Application crash,Application Support Team,Medium,24,29,Yes,,,
0042525777,2024-11-18,357,27,Software,Outlook not opening,Application Support Team,High,4,4,No,,,
0042529130,2024-02-27,313,1,Hardware,Laptop not turning on,Hardware Support Team,High,4,76,Yes,,,
0042529194,2023-12-10,1279,31,System,Blue screen error,System Administration Team,High,4,18,Yes,,,
0042529305,2023-08-17,1440,33,Hardware,Monitor display issue,Hardware Support Team,Medium,24,22,No,,,
0042530271,2022-03-17,297,22,Software,Outlook not opening,Application Support Team,Medium,24,8,No,,,
0042530403,2022-01-22,620,24,System,System update failure,System Administration Team,Low,48,47,No,,,
0042533232,2022-07-20,943,12,System,Operating system crash,System Administration Team,High,4,2,No,,,
0042534542,2022-11-16,964,25,Hardware,Keyboard not working,Hardware Support Team,Low,48,1,No,,,
0042534979,2024-12-02,1957,29,Software,Application crash,Application Support Team,Medium,24,62,Yes,,,
0042535074,2023-05-31,1227,10,Hardware,Monitor display issue,Hardware Support Team,High,4,20,Yes,,,
0042538569,2022-08-20,1396,5,Software,Application crash,Application Support Team,Medium,24,3,No,,,
0042539231,2022-02-11,1233,42,System,Operating system crash,System Administration Team,High,4,11,Yes,,,
0042539313,2023-02-02,191,43,Software,Software installation failure,Application Support Team,Medium,24,4,No,,,
0042542185,2024-11-09,1808,11,Hardware,Laptop not turning on,Hardware Support Team,High,4,11,Yes,,,
0042546706,2023-09-21,820,27,Login Access,Password reset request,Access Management Team,Low,48,4,No,,,
0042548389,2024-06-04,1058,43,System,Blue screen error,System Administration Team,High,4,81,Yes,,,
0042548959,2024-12-15,1655,19,Hardware,Keyboard not working,Hardware Support Team,Low,48,25,No,,,
0042549025,2023-08-09,1982,40,Software,Application crash,Application Support Team,Medium,24,1,No,,,
0042549394,2024-06-05,1569,33,Hardware,Printer not printing,Hardware Support Team,Medium,24,30,Yes,,,
0042549758,2022-03-30,1555,47,Hardware,Monitor display issue,Hardware Support Team,Low,48,57,Yes,,,
0042550824,2022-06-28,1782,38,System,Blue screen error,System Administration Team,High,4,2,No,,,
0042552134,2023-09-24,1793,11,System,System update failure,System Administration Team,Low,48,19,No,,,
0042552913,2024-03-06,1431,39,System,Blue screen error,System Administration Team,High,4,9,Yes,,,
0042554055,2024-04-24,1905,50,System,System running slow,System Administration Team,Low,48,27,No,,,
0042554453,2024-01-19,425,44,Login Access,VPN login issue,Access Management Team,Low,48,50,Yes,,,
0042556135,2022-02-10,1653,41,System,System running slow,System Administration Team,Medium,24,40,Yes,,,
0042556731,2022-04-16,553,17,System,Operating system crash,System Administration Team,High,4,1,No,,,
0042558549,2023-05-25,24,45,Hardware,Printer not printing,Hardware Support Team,Medium,24,20,No,,,
0042558832,2024-10-14,1003,28,Login Access,Account locked,Access Management Team,Medium,24,4,No,,,
0042561896,2022-07-25,349,18,Hardware,Monitor display issue,Hardware Support Team,Medium,24,12,No,,,
0042562194,2024-04-08,1709,21,Software,Application crash,Application Support Team,Medium,24,5,No,,,
0042562255,2023-04-28,1435,42,Software,Application crash,Application Support Team,Medium,24,16,No,,,
0042562288,2023-07-10,1788,2,System,System update failure,System Administration Team,Low,48,3,No,,,
0042562381,2024-10-24,1098,33,Hardware,Monitor display issue,Hardware Support Team,Medium,24,31,Yes,,,
0042563073,2024-06-06,937,40,Hardware,Printer not printing,Hardware Support Team,Medium,24,32,Yes,,,
0042563431,2022-11-17,523,14,Software,Outlook not opening,Application Support Team,Low,48,14,No,,,
0042563474,2024-12-15,937,24,Hardware,Laptop not turning on,Hardware Support Team,High,4,2,No,,,
0042565116,2023-10-11,801,31,Hardware,Keyboard not working,Hardware Support Team,Low,48,24,No,,,
0042565652,2022-10-26,895,36,Hardware,Printer not printing,Hardware Support Team,Medium,24,15,No,,,
0042565719,2022-08-15,1161,17,Software,Software installation failure,Application Support Team,Medium,24,3,No,,,
0042566706,2024-11-14,1040,47,Login Access,Password reset request,Access Management Team,Low,48,38,No,,,
0042566912,2023-11-12,1811,39,Login Access,VPN login issue,Access Management Team,Low,48,80,Yes,,,
0042567693,2023-10-03,1019,16,Hardware,Keyboard not working,Hardware Support Team,High,4,1,No,,,
0042568677,2023-05-04,1987,16,System,Operating system crash,System Administration Team,High,4,4,No,,,
0042570169,2023-03-03,716,11,System,System update failure,System Administration Team,Low,48,7,No,,,
0042571450,2024-11-10,1005,34,Software,Outlook not opening,Application Support Team,Low,48,8,No,,,
0042573082,2022-11-01,58,40,Hardware,Printer not printing,Hardware Support Team,Medium,24,29,Yes,,,
0042575079,2023-10-18,1927,50,Software,Software installation failure,Application Support Team,Medium,24,4,No,,,
0042577829,2023-08-10,492,18,Login Access,Unable to login to system,Access Management Team,Low,48,72,Yes,,,
0042578716,2022-05-16,1591,47,Hardware,Keyboard not working,Hardware Support Team,Medium,24,9,No,,,
0042581298,2024-03-08,569,22,System,System running slow,System Administration Team,Medium,24,19,No,,,
0042581309,2024-09-27,1320,43,Software,Application crash,Application Support Team,Medium,24,15,No,,,
0042581629,2022-07-11,482,6,System,System running slow,System Administration Team,High,4,45,Yes,,,
0042581770,2022-12-27,537,47,System,System update failure,System Administration Team,Low,48,13,No,,,
0042582030,2024-06-13,223,20,System,System update failure,System Administration Team,Low,48,40,No,,,
0042582049,2024-09-22,1004,10,System,System running slow,System Administration Team,Low,48,8,No,,,
0042583458,2023-10-09,1965,14,Hardware,Laptop not turning on,Hardware Support Team,High,4,3,No,,,
0042584053,2022-08-17,435,50,Hardware,Monitor display issue,Hardware Support Team,High,4,2,No,,,
0042586203,2024-02-15,1690,2,Software,Outlook not opening,Application Support Team,High,4,3,No,,,
0042589843,2023-02-22,974,38,Login Access,VPN login issue,Access Management Team,High,4,4,No,,,
0042590373,2023-10-01,837,43,Login Access,Account locked,Access Management Team,Medium,24,24,No,,,
0042591218,2023-10-28,791,22,System,Operating system crash,System Administration Team,High,4,95,Yes,,,
0042591559,2023-11-27,995,15,Login Access,Unable to login to system,Access Management Team,Medium,24,16,No,,,
0042593103,2023-01-05,860,41,System,Operating system crash,System Administration Team,High,4,90,Yes,,,
0042593587,2023-03-07,138,25,Hardware,Printer not printing,Hardware Support Team,Medium,24,8,No,,,
0042593697,2023-08-30,1829,26,System,Operating system crash,System Administration Team,High,4,24,Yes,,,
0042594173,2024-04-06,327,31,System,System update failure,System Administration Team,Low,48,4,No,,,
0042595169,2023-06-18,926,31,Software,Software installation failure,Application Support Team,Medium,24,15,No,,,
0042596866,2024-05-17,1926,48,Software,Application crash,Application Support Team,Medium,24,56,Yes,,,
0042596921,2024-04-24,1792,29,Software,Outlook not opening,Application Support Team,Medium,24,8,No,,,
0042597658,2022-06-04,1205,36,Hardware,Keyboard not working,Hardware Support Team,Medium,24,24,No,,,
0042597779,2024-03-10,707,17,System,System update failure,System Administration Team,Low,48,3,No,,,
0042598390,2024-10-27,1129,33,Software,Application crash,Application Support Team,Medium,24,3,No,,,
0042599859,2024-12-10,1155,38,Hardware,Keyboard not working,Hardware Support Team,High,4,3,No,,,
0042600005,2024-11-19,1260,40,System,Operating system crash,System Administration Team,High,4,1,No,,,
0042600368,2023-05-25,1386,23,System,Operating system crash,System Administration Team,High,4,36,Yes,,,
0042601706,2023-07-26,370,7,Login Access,Account locked,Access Management Team,Medium,24,26,Yes,,,
0042604070,2022-04-28,1587,30,Hardware,Laptop not turning on,Hardware Support Team,High,4,4,No,,,
0042604571,2023-07-07,707,15,System,System update failure,System Administration Team,Low,48,1,No,,,
0042604616,2023-07-05,761,26,System,Operating system crash,System Administration Team,High,4,42,Yes,,,
0042606030,2023-05-22,1233,40,Hardware,Laptop not turning on,Hardware Support Team,High,4,33,Yes,,,
0042606193,2024-10-04,1729,1,Software,Software installation failure,Application Support Team,Medium,24,1,No,,,
0042607378,2024-11-07,957,33,System,System update failure,System Administration Team,Low,48,65,Yes,,,
0042608450,2023-12-14,1435,24,Login Access,Unable to login to system,Access Management Team,Low,48,46,No,,,
0042609982,2022-10-01,58,39,System,System update failure,System Administration Team,Low,48,2,No,,,
0042610078,2024-08-30,517,10,Hardware,Keyboard not working,Hardware Support Team,Medium,24,11,No,,,
0042610418,2024-12-30,501,14,Software,Excel not responding,Application Support Team,High,4,4,No,,,
0042610618,2024-10-20,1101,46,System,System update failure,System Administration Team,Low,48,38,No,,,
0042611608,2023-08-25,480,16,System,Blue screen error,System Administration Team,High,4,3,No,,,
0042611670,2023-08-19,1117,26,Login Access,Unable to login to system,Access Management Team,Low,48,33,No,,,
0042611779,2022-02-05,1147,27,System,Operating system crash,System Administration Team,High,4,2,No,,,
0042611797,2022-03-11,1549,37,Login Access,Unable to login to system,Access Management Team,High,4,1,No,,,
0042612314,2023-09-10,1351,33,Software,Outlook not opening,Application Support Team,Low,48,8,No,,,
0042612348,2023-05-24,1764,3,Hardware,Printer not printing,Hardware Support Team,Medium,24,2,No,,,
0042615470,2024-03-31,1667,34,Software,Excel not responding,Application Support Team,Medium,24,16,No,,,
0042615472,2023-03-25,677,24,System,System update failure,System Administration Team,Low,48,4,No,,,
0042616109,2022-12-29,1090,41,Login Access,Password reset request,Access Management Team,Low,48,42,No,,,
0042618281,2023-07-21,248,12,System,Operating system crash,System Administration Team,High,4,7,Yes,,,
0042620378,2022-03-09,1167,43,System,Operating system crash,System Administration Team,High,4,9,Yes,,,
0042621095,2023-03-28,1419,10,Hardware,Monitor display issue,Hardware Support Team,Medium,24,12,No,,,
0042621134,2022-06-04,1923,31,Hardware,Monitor display issue,Hardware Support Team,Low,48,37,No,,,
0042625924,2024-06-24,1362,19,Hardware,Laptop not turning on,Hardware Support Team,High,4,10,Yes,,,
0042626674,2022-01-29,207,36,System,Blue screen error,System Administration Team,High,4,6,Yes,,,
0042627180,2022-12-17,458,41,Login Access,VPN login issue,Access Management Team,Low,48,40,No,,,
0042628158,2023-08-08,525,11,System,System update failure,System Administration Team,Low,48,4,No,,,
0042630649,2022-04-15,514,26,Software,Software installation failure,Application Support Team,Medium,24,32,Yes,,,
0042631077,2023-12-05,1147,10,Login Access,Account locked,Access Management Team,Medium,24,36,Yes,,,
0042632209,2024-02-24,1610,2,System,System running slow,System Administration Team,Low,48,5,No,,,
0042632584,2022-01-07,788,35,Hardware,Laptop not turning on,Hardware Support Team,High,4,8,Yes,,,
0042634135,2022-11-07,1813,1,Software,Outlook not opening,Application Support Team,Medium,24,19,No,,,
0042636674,2023-04-20,197,16,System,System update failure,System Administration Team,Low,48,29,No,,,
0042637028,2024-02-19,1642,10,System,Blue screen error,System Administration Team,High,4,4,No,,,
0042638212,2022-02-13,1501,32,System,Blue screen error,System Administration Team,High,4,1,No,,,
0042639012,2024-07-13,1881,10,Hardware,Keyboard not working,Hardware Support Team,Medium,24,9,No,,,
0042639258,2022-02-09,1895,42,Login Access,Account locked,Access Management Team,Medium,24,3,No,,,
0042639422,2022-04-16,522,24,Hardware,Printer not printing,Hardware Support Team,Medium,24,44,Yes,,,
0042642269,2022-04-16,1266,2,Hardware,Laptop not turning on,Hardware Support Team,High,4,1,No,,,
0042642475,2024-01-23,1727,44,System,Operating system crash,System Administration Team,High,4,15,Yes,,,
0042642761,2023-03-12,1636,37,Software,Outlook not opening,Application Support Team,High,4,4,No,,,
0042643927,2023-01-03,1512,9,System,Blue screen error,System Administration Team,High,4,78,Yes,,,
0042645165,2023-05-21,646,11,Hardware,Printer not printing,Hardware Support Team,Medium,24,12,No,,,
0042645529,2022-10-16,1632,5,Software,Software installation failure,Application Support Team,Medium,24,54,Yes,,,
0042645990,2022-07-23,1569,29,System,Operating system crash,System Administration Team,High,4,5,Yes,,,
0042647763,2022-07-21,1556,7,Login Access,VPN login issue,Access Management Team,Low,48,24,No,,,
0042648295,2024-07-16,109,12,System,Blue screen error,System Administration Team,High,4,2,No,,,
0042648779,2024-03-21,987,37,Software,Software installation failure,Application Support Team,Medium,24,23,No,,,
0042650354,2023-11-26,185,23,Hardware,Printer not printing,Hardware Support Team,Medium,24,32,Yes,,,
0042650607,2024-09-04,1880,26,Login Access,Unable to login to system,Access Management Team,High,4,2,No,,,
0042651689,2023-10-28,348,6,Login Access,Unable to login to system,Access Management Team,Low,48,32,No,,,
0042652035,2024-04-13,253,20,Login Access,VPN login issue,Access Management Team,Medium,24,14,No,,,
0042658864,2022-02-18,186,38,System,System running slow,System Administration Team,Medium,24,23,No,,,
0042659533,2024-07-23,1813,15,Software,Application crash,Application Support Team,Medium,24,57,Yes,,,
0042660989,2024-02-01,8,39,Login Access,Unable to login to system,Access Management Team,Low,48,39,No,,,
0042661324,2024-05-29,372,13,Login Access,Account locked,Access Management Team,Medium,24,24,No,,,
0042661900,2024-01-30,230,19,Hardware,Monitor display issue,Hardware Support Team,Medium,24,18,No,,,
0042662971,2023-10-12,837,49,Hardware,Keyboard not working,Hardware Support Team,High,4,3,No,,,
0042663139,2024-11-16,393,31,Login Access,Unable to login to system,Access Management Team,High,4,7,Yes,,,
0042664808,2022-11-21,140,28,Hardware,Laptop not turning on,Hardware Support Team,High,4,23,Yes,,,
0042667501,2024-07-14,360,15,Hardware,Laptop not turning on,Hardware Support Team,High,4,3,No,,,
0042667759,2024-09-03,1065,47,System,System update failure,System Administration Team,Low,48,2,No,,,
0042668595,2024-02-19,1369,45,Login Access,Unable to login to system,Access Management Team,Low,48,13,No,,,
0042671420,2022-01-22,1092,34,Login Access,VPN login issue,Access Management Team,Low,48,8,No,,,
